indicator_id,YearStart,YearEnd,LocationDesc,Topic,Question,DataValueUnit,DataValue
9193,2014,2014,Oregon,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,45.1
2599,2016,2016,Delaware,Alcohol,Heavy drinking among women aged 18-44 years,%,8.9
870,2011,2011,Hawaii,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,22.2
3926,2017,2017,Louisiana,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
5717,2018,2018,Louisiana,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,
2752,2016,2016,Washington,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,75.3
5876,2016,2016,Utah,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,25.7
4323,2015,2015,Maryland,Asthma,Asthma mortality rate,"cases per 1,000,000",
6789,2012,2012,North Dakota,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,65.5
2338,2017,2017,Colorado,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,65.3
7505,2017,2017,Florida,Chronic Kidney Disease,Mortality with end-stage renal disease,Number,8731
1886,2012,2016,West Virginia,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",57.8
3127,2015,2015,Oregon,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",12.34
5475,2016,2016,Alaska,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,
9769,2014,2014,Montana,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,8.0
3193,2013,2013,Arizona,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,14.7
4768,2016,2016,Alabama,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",14.28
6149,2013,2013,South Carolina,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,30.6
4352,2016,2016,Idaho,Cardiovascular Disease,Mortality from diseases of the heart,Number,
7392,2018,2018,Maryland,Tobacco,Quit attempts in the past year among current smokers,%,
7301,2018,2018,Missouri,Alcohol,Heavy drinking among women aged 18-44 years,%,
2359,2017,2017,Mississippi,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",97.6
5849,2015,2015,Rhode Island,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,63.8
7207,2012,2012,Kentucky,Tobacco,Quit attempts in the past year among current smokers,%,59.6
7359,2015,2015,Wisconsin,Asthma,Asthma prevalence among women aged 18-44 years,%,
5841,2016,2016,Illinois,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,33.5
894,2017,2017,New Hampshire,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
1170,2016,2016,Puerto Rico,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,25.7
8278,2014,2014,Rhode Island,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,28.5
6452,2011,2011,Wisconsin,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,30.3
3196,2012,2012,North Dakota,Chronic Kidney Disease,Mortality with end-stage renal disease,,777
4082,2013,2013,Ohio,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,40.7
2114,2017,2017,North Carolina,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,Number,5102
3099,2018,2018,Nebraska,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
7252,2016,2016,New Hampshire,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",235.8
2302,2013,2013,Puerto Rico,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,61
1477,2010,2014,Vermont,Cancer,"Cancer of the lung and bronchus, incidence",,
6631,2013,2013,South Dakota,Diabetes,Hospitalization with diabetes as a listed diagnosis,"cases per 10,000",176.96
3074,2015,2015,Virgin Islands,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,
1794,2011,2011,Guam,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,35.9
1697,2016,2016,New Hampshire,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",65.14
9114,2015,2015,Indiana,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",
1592,2012,2012,Wyoming,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",149.6
2267,2012,2012,Missouri,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,
1919,2008,2012,Nevada,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",
7975,2015,2015,West Virginia,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",27.31
3631,2016,2016,Colorado,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,%,58.0
5559,2015,2015,Iowa,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,,1379
2429,2008,2012,New York,Cancer,"Cancer of the colon and rectum (colorectal), mortality",,288
1158,2011,2011,Ohio,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,54.0
9777,2009,2013,North Dakota,Cancer,"Cancer of the colon and rectum (colorectal), mortality","per 100,000",
9152,2013,2013,Ohio,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",
6228,2011,2011,New Mexico,Overarching Conditions,Poverty,%,
7049,2014,2014,Alaska,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,
2310,2011,2011,Hawaii,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,
8515,2013,2013,Tennessee,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,51.7
3774,2017,2017,California,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,23.8
6390,2013,2013,Connecticut,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
5502,2016,2016,Kansas,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,41.6
2976,2011,2011,Montana,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",37.9
8050,2017,2017,Minnesota,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,21.2
2618,2011,2011,United States,"Nutrition, Physical Activity, and Weight Status",Live births occurring at Baby Friendly Facilities,%,4.5
2215,2016,2016,New York,Asthma,Asthma mortality rate,"cases per 1,000,000",
7431,2013,2013,Washington,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,
8646,2015,2015,Oregon,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",53.5
4386,2012,2012,District of Columbia,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",365.6
3106,2015,2015,Delaware,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,53.9
5067,2012,2012,Virginia,Overarching Conditions,Premature mortality among adults aged 45-64 years,,3295
8142,2017,2017,Arkansas,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,80.1
2747,2013,2013,Oklahoma,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",160.9
3152,2015,2015,California,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,
5522,2014,2014,Idaho,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,13.0
3639,2010,2014,Florida,Cancer,"Invasive cancer of the cervix, incidence","per 100,000",4.6
5337,2017,2017,Kansas,Asthma,Current asthma prevalence among adults aged >= 18 years,%,6.4
598,2011,2011,Minnesota,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,31.7
5528,2013,2013,Pennsylvania,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,49.1
2721,2016,2016,Maine,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,66.7
6444,2011,2011,Maine,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,13.4
5079,2011,2011,West Virginia,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,63.7
5369,2011,2011,Georgia,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,71.0
9930,2012,2012,Montana,Cardiovascular Disease,Mortality from heart failure,,
5166,2012,2012,New York,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,12.4
1018,2013,2013,Washington,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,29.3
7268,2011,2015,Kansas,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",7.2
7165,2011,2011,Maryland,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,
5248,2015,2015,Arkansas,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",29.55
1530,2012,2012,Delaware,Disability,Disability among adults aged >= 65 years,%,30.7
691,2016,2016,California,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,82.1
5457,2016,2016,Massachusetts,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,68.5
512,2013,2013,Kentucky,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,4.6
9232,2011,2011,Montana,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,
9615,2015,2015,Texas,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",3.79
2321,2011,2015,Oregon,Cancer,"Cancer of the prostate, mortality",,9
358,2017,2017,Vermont,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,
431,2011,2011,Kentucky,Asthma,Current asthma prevalence among adults aged >= 18 years,%,
7954,2011,2011,Puerto Rico,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,
1747,2014,2014,Arizona,Alcohol,Chronic liver disease mortality,"cases per 100,000",14.3
2960,2011,2011,Arizona,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,60.4
9157,2011,2015,Alabama,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",213.3
4360,2009,2013,Minnesota,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",2.6
7304,2015,2015,Arizona,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,
3830,2010,2014,Ohio,Cancer,"Cancer of the female breast, mortality",,1775
2221,2013,2013,North Dakota,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
526,2011,2015,West Virginia,Cancer,"Invasive cancer of the cervix, incidence","per 100,000",
4448,2013,2013,South Dakota,Arthritis,Activity limitation due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,%,43.5
4097,2015,2015,Wyoming,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,69.3
384,2009,2013,Iowa,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",62.6
2435,2009,2013,Ohio,Cancer,"Cancer of the lung and bronchus, incidence",,49
7358,2013,2013,North Dakota,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,9.2
932,2017,2017,Indiana,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",15.32
7015,2014,2014,South Dakota,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,44.2
5288,2014,2014,New Mexico,Chronic Kidney Disease,Incidence of treated end-stage renal disease attributed to diabetes,"cases per 1,000,000",173.4
3679,2018,2018,Maine,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,37.6
8941,2012,2012,Missouri,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,28.3
3500,2010,2010,Alabama,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",59.7
2054,2014,2014,Alaska,Cardiovascular Disease,Hospitalization for acute myocardial infarction,,
8028,2017,2017,Wyoming,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,50.5
8658,2010,2010,California,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,,74918
6116,2013,2013,Connecticut,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,%,
4092,2012,2012,West Virginia,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,35.1
3731,2016,2016,South Dakota,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,
6715,2015,2015,Texas,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,26.8
2709,2016,2016,North Carolina,Tobacco,Current cigarette smoking among women aged 18-44 years,%,
6255,2012,2016,North Carolina,Cancer,"Melanoma, mortality","per 100,000",2
2846,2010,2014,South Carolina,Cancer,"Cancer of the prostate, mortality",,286
3947,2015,2015,Vermont,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",558.1
4843,2015,2015,Oklahoma,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,Number,1354
1060,2008,2012,South Carolina,Cancer,"Cancer of the colon and rectum (colorectal), mortality","per 100,000",
6094,2016,2016,New Hampshire,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,13.9
9115,2011,2011,South Dakota,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
7612,2013,2013,Tennessee,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,76.1
8914,2017,2017,New Mexico,Tobacco,Current cigarette smoking among youth,%,
169,2010,2010,Iowa,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",
5609,2014,2014,Arkansas,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,39.3
2401,2015,2015,Kentucky,Disability,Disability among adults aged >= 65 years,%,40.7
6572,2013,2013,Pennsylvania,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",278.8
5990,2012,2016,District of Columbia,Cancer,"Cancer of the colon and rectum (colorectal), mortality","per 100,000",7.4
557,2012,2012,Massachusetts,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,15.3
5395,2011,2011,Georgia,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,1728
8662,2015,2015,Idaho,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,
1113,2011,2011,Louisiana,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,68.6
583,2013,2013,Guam,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,2.4
1197,2018,2018,Virgin Islands,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,
4527,2017,2017,South Dakota,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,
1016,2013,2013,Virgin Islands,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
6988,2014,2014,Massachusetts,Older Adults,Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years,%,69.7
5689,2012,2012,Arizona,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,58.5
3351,2018,2018,Wyoming,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,
1499,2017,2017,Rhode Island,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,%,38.6
172,2010,2010,Georgia,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,,125
6876,2012,2012,Massachusetts,Overarching Conditions,High school completion among women aged 18-44 years,%,93.1
3894,2013,2013,Texas,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,961
5728,2015,2015,Idaho,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,
3796,2013,2013,Idaho,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,%,46.3
3522,2016,2016,Louisiana,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,32.7
1160,2015,2015,South Dakota,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",
8147,2014,2014,Delaware,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,75.5
2653,2013,2013,Alaska,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,
5127,2016,2016,New Hampshire,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,15.1
9599,2018,2018,California,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,57.5
389,2015,2015,Michigan,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",25.08
4225,2014,2014,Florida,Overarching Conditions,Poverty,%,15.4
1057,2015,2015,Oklahoma,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,4.3
1244,2011,2011,South Carolina,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,70.0
7001,2016,2016,Minnesota,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,
3770,2010,2014,Illinois,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",79.4
3379,2010,2010,Maine,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",87.72
9447,2014,2014,Nevada,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",173.3
5983,2010,2010,South Dakota,Cardiovascular Disease,Mortality from diseases of the heart,,797
9983,2013,2013,Minnesota,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,70.9
9856,2014,2014,Arizona,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,80.5
5429,2015,2015,Louisiana,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,,
8172,2015,2015,Minnesota,Asthma,Current asthma prevalence among adults aged >= 18 years,%,7.4
8885,2014,2014,West Virginia,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",21.94
7290,2009,2013,Oklahoma,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",463.7
5325,2012,2012,Oregon,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,67.2
6960,2015,2015,South Dakota,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,77.1
2341,2015,2015,California,Diabetes,Amputation of a lower extremity attributable to diabetes,,
3909,2011,2011,Texas,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,19.2
2011,2014,2014,Louisiana,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
9313,2011,2011,New Hampshire,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,
899,2015,2015,Arkansas,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,
3676,2011,2011,New Jersey,Overarching Conditions,Self-rated health status among women aged 18-44 years,%,
1371,2015,2015,Kentucky,"Nutrition, Physical Activity, and Weight Status",Mean maternity practices in infant nutrition care (mPINC) score,Number,73
9259,2017,2017,Illinois,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,29.0
2891,2016,2016,Missouri,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,49.2
5871,2017,2017,Washington,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,55.0
8355,2013,2013,Idaho,Tobacco,Current cigarette smoking among youth,%,12.2
3242,2018,2018,New Hampshire,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,32.6
8308,2017,2017,Idaho,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,
255,2011,2011,Arkansas,Disability,Disability among adults aged >= 65 years,%,52.9
6592,2017,2017,Connecticut,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,
6620,2016,2016,Oklahoma,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,76.4
8207,2015,2015,New York,Asthma,Asthma mortality rate,"cases per 1,000,000",29.0
4217,2015,2015,Indiana,Alcohol,Chronic liver disease mortality,"cases per 100,000",
4786,2014,2014,Virginia,Asthma,Emergency department visit rate for asthma,"cases per 10,000",
2000,2018,2018,Vermont,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,43.8
8790,2017,2017,Maryland,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,Number,838
9543,2016,2016,New Mexico,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,3.3
4994,2016,2016,Massachusetts,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,
4335,2011,2011,Rhode Island,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
5318,2017,2017,District of Columbia,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",259.7
8431,2011,2011,Kentucky,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
9783,2014,2014,South Carolina,Alcohol,Heavy drinking among adults aged >= 18 years,%,6.0
2130,2010,2010,Pennsylvania,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",1.0
8919,2015,2015,New Hampshire,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,%,78.6
3707,2017,2017,Virginia,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,83.1
5105,2011,2015,Texas,Cancer,"Invasive cancer of the cervix, incidence",,4
3797,2012,2012,South Dakota,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,
166,2012,2012,Texas,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,2.9
7127,2015,2015,West Virginia,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,,
8884,2015,2015,New Hampshire,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",
135,2018,2018,Pennsylvania,Arthritis,Arthritis among adults aged >= 18 years,%,30.9
5997,2008,2012,Louisiana,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",,12
8187,2012,2012,Michigan,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,
7504,2008,2012,Louisiana,Cancer,"Invasive cancer (all sites combined), incidence",,16325
362,2013,2013,Illinois,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,1.2
7293,2013,2013,Alabama,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,%,
2538,2016,2016,Washington,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,50.7
